Job_Title,Company,City,Experience_Level,Skills_Required,Education_Required,Clean_Skills,Search_Text
Android Developer,Tech Mahindra,Remote,Senior (6-10 yrs),"Kotlin, Java, REST APIs",M.Tech/M.E.,kotlin java rest apis,Android Developer kotlin java rest apis M.Tech/M.E. Senior (6-10 yrs)
QA Engineer,Dream11,Lucknow,Senior (6-10 yrs),"Selenium, Manual Testing, Postman, API Testing, Python",B.Tech/B.E.,selenium manual testing postman api testing python,QA Engineer selenium manual testing postman api testing python B.Tech/B.E. Senior (6-10 yrs)
Business Analyst,HAL,Remote,Senior (6-10 yrs),"JIRA, Excel, Power BI",MCA,jira excel power bi,Business Analyst jira excel power bi MCA Senior (6-10 yrs)
Cybersecurity Analyst,Groww,Mumbai,Mid (3-6 yrs),"Penetration Testing, Python, Ethical Hacking, SIEM, Network Security",BCA,penetration testing python ethical hacking siem network security,Cybersecurity Analyst penetration testing python ethical hacking siem network security BCA Mid (3-6 yrs)
Python Developer,Oracle,Remote,Junior (1-3 yrs),"Docker, REST APIs, AWS, PostgreSQL",MCA,docker rest apis aws postgresql,Python Developer docker rest apis aws postgresql MCA Junior (1-3 yrs)
Backend Developer,Nykaa,Indore,Junior (1-3 yrs),"Java, Docker, MongoDB",B.Tech/B.E.,java docker mongodb,Backend Developer java docker mongodb B.Tech/B.E. Junior (1-3 yrs)
Power BI Developer,PhonePe,Remote,Mid (3-6 yrs),"Power BI, SQL, Excel, DAX, Data Modeling",MCA,power bi sql excel dax data modeling,Power BI Developer power bi sql excel dax data modeling MCA Mid (3-6 yrs)
Business Analyst,Cisco,Pune,Junior (1-3 yrs),"Agile, Power BI, Requirements Gathering",MCA,agile power bi requirement gathering,Business Analyst agile power bi requirement gathering MCA Junior (1-3 yrs)
Java Developer,HCL Technologies,Remote,Fresher (0-1 yr),"REST APIs, Hibernate, Maven, Spring Boot",MCA,rest apis hibernate maven spring boot,Java Developer rest apis hibernate maven spring boot MCA Fresher (0-1 yr)
Technical Lead,Chargebee,Delhi,Junior (1-3 yrs),"Microservices, System Design, Team Leadership, Code Review",M.Tech/M.E.,microservices system design team leadership code review,Technical Lead microservices system design team leadership code review M.Tech/M.E. Junior (1-3 yrs)
QA Engineer,Infosys,Remote,Fresher (0-1 yr),"Python, Postman, API Testing, Selenium, JIRA, Manual Testing",B.Tech/B.E.,python postman api testing selenium jira manual testing,QA Engineer python postman api testing selenium jira manual testing B.Tech/B.E. Fresher (0-1 yr)
